type 1 (EV_KEY), code 304 (BTN_SOUTH), value 1
type 1 (EV_KEY), code 304 (BTN_SOUTH), value 0
type 1 (EV_KEY), code 305 (BTN_EAST), value 1
type 1 (EV_KEY), code 305 (BTN_EAST), value 0
type 1 (EV_KEY), code 307 (BTN_NORTH), value 1
type 1 (EV_KEY), code 307 (BTN_NORTH), value 0
type 1 (EV_KEY), code 308 (BTN_WEST), value 1
type 1 (EV_KEY), code 308 (BTN_WEST), value 0
type 1 (EV_KEY), code 310 (BTN_TL), value 1
type 1 (EV_KEY), code 310 (BTN_TL), value 0
type 1 (EV_KEY), code 311 (BTN_TR), value 1
type 1 (EV_KEY), code 311 (BTN_TR), value 0
type 1 (EV_KEY), code 314 (BTN_SELECT), value 1
type 1 (EV_KEY), code 314 (BTN_SELECT), value 0
type 1 (EV_KEY), code 315 (BTN_START), value 1
type 1 (EV_KEY), code 315 (BTN_START), value 0
type 1 (EV_KEY), code 317 (BTN_THUMBL), value 1
type 1 (EV_KEY), code 317 (BTN_THUMBL), value 0
type 1 (EV_KEY), code 318 (BTN_THUMBR), value 1
type 1 (EV_KEY), code 318 (BTN_THUMBR), value 0
type 3 (EV_ABS), code 0 (ABS_X), value 16384
type 3 (EV_ABS), code 0 (ABS_X), value 0
type 3 (EV_ABS), code 4 (ABS_RY), value 16384
type 3 (EV_ABS), code 4 (ABS_RY), value 0
type 3 (EV_ABS), code 2 (ABS_Z), value 127
type 3 (EV_ABS), code 2 (ABS_Z), value 0
type 3 (EV_ABS), code 5 (ABS_RZ), value 255
type 3 (EV_ABS), code 5 (ABS_RZ), value 0
type 3 (EV_ABS), code 17 (ABS_HAT0Y), value -1
type 3 (EV_ABS), code 16 (ABS_HAT0X), value 1
type 3 (EV_ABS), code 17 (ABS_HAT0Y), value 0
type 3 (EV_ABS), code 16 (ABS_HAT0X), value 0
type 3 (EV_ABS), code 17 (ABS_HAT0Y), value 1
type 3 (EV_ABS), code 16 (ABS_HAT0X), value -1
type 3 (EV_ABS), code 17 (ABS_HAT0Y), value 0
type 3 (EV_ABS), code 16 (ABS_HAT0X), value 0
